# Headline table. 20 m single-band columns plus the three-band
# aggregate the ranking is built on.
# aggregate_dB = 10*log10(mean linear power). NOTE: this metric
# rewards concentrating power into a few bearings, so a spiky
# straight wire can score near a broad one. Read it alongside
# n_workable and n_holes, which capture spread.
# mb3_* columns aggregate 40m + 20m + 15m on the ABSOLUTE (dBi)
# scale over 75 band x region cells. mb3_regions_covered counts
# regions reachable on at least ONE of the three - that is the
# primary sort key, then mb3_workable, then mb3_aggregate_dBi.
# takeoff 'slant' = slope > 30 deg, modelled as a slant radiator
# (METHOD.md s9, LOW confidence) - not a horizontal-wire lobe.
# 'zenith' = h < lambda/4, so no distinct lobe exists.
# mean_imax_height_ft = mean height of the four 20 m current maxima.
# That column is pure arithmetic and HIGH confidence; prefer it.
mb3_rank,key,avg_height_ft,mean_imax_height_ft,slope_deg,takeoff_20m_deg,takeoff_15m_deg,legs_true_deg,aggregate_dB,median_dB,worst_dB,n_workable,n_holes,delta_vs_A_dB,mb3_aggregate_dBi,mb3_median_dBi,mb3_worst_dBi,mb3_workable_of_75,mb3_holes,mb3_regions_covered,label
9,BASE,22.5,22.5,0,50.6,31.0,82/143,-9.04,-10.4,-31.5,12,6,-3.5,-2.84,-5.9,-26.2,35,23,21,"Baseline as first described (feed 10 ft, apex 35 ft)"
1,A,41.6,41.0,0,24.7,16.2,82/130,-5.51,-6.3,-17.0,20,2,+0.0,-0.16,-2.4,-25.4,49,16,24,"Bent flat-top, 2 tree supports (RECOMMENDED)"
5,V1,33.2,33.5,0,31.6,20.5,82/130,-6.57,-6.8,-18.9,19,4,-1.1,-0.88,-3.4,-27.1,44,20,23,"Inverted-V, ONE tree support at 50 ft, feed 24 ft"
6,V2,30.0,30.0,0,35.4,22.7,82/130,-7.14,-7.5,-19.7,17,4,-1.6,-1.31,-4.0,-27.9,40,21,23,"Inverted-V, ONE tree support at 50 ft, feed 10 ft"
15,V3,17.0,17.0,0,zenith,43.0,110,-12.96,-23.4,-99.1,3,18,-7.5,-7.99,-17.4,-109.1,7,56,5,"Inverted-V on a 24 ft PVC mast (symmetric)"
14,S1,17.0,17.0,0,zenith,43.0,358,-10.98,-15.0,-93.4,9,12,-5.5,-5.93,-11.0,-88.1,22,39,16,"Straight sloper to a 24 ft PVC mast, feed 10 ft, bearing 358T"
11,S2,24.0,24.0,0,46.4,28.9,355,-8.53,-12.6,-49.1,12,9,-3.0,-3.49,-8.9,-58.7,29,35,19,"Straight sloper to a 24 ft PVC mast, feed 24 ft, bearing 355T"
7,S3,37.0,37.0,0,28.0,18.3,358,-5.98,-9.0,-87.2,14,8,-0.5,-1.22,-4.7,-81.9,38,31,19,"Straight sloper to a 50 ft TREE, feed 24 ft, bearing 358T"
10,S4,37.0,37.0,0,28.0,18.3,83,-8.04,-9.1,-121.4,14,11,-2.5,-2.31,-9.8,-116.1,32,36,17,"Straight sloper to a 50 ft tree, feed 24 ft, over the LAWN, bearing 83T"
13,S5,24.0,24.0,0,46.4,28.9,70,-9.69,-14.3,-57.1,10,11,-4.2,-4.06,-10.7,-68.2,23,38,15,"Straight sloper to a 24 ft PVC mast, feed 24 ft, over the LAWN, bearing 70T"
2,T30,56.5,56.5,30,~67,~12,176,-4.49,-3.9,-50.7,21,3,+1.0,-0.63,-2.9,-45.4,49,15,24,"Tall sloper, 30 deg slope, top 89 ft, bearing 176T"
3,T45,69.9,69.9,45,~14,~56,143,-7.41,-9.8,-66.2,16,9,-1.9,-2.62,-4.0,-60.9,49,21,24,"Tall sloper, 45 deg slope, top 116 ft, bearing 143T"
4,T60,80.3,80.3,60,~60,~60,337,-9.55,-9.5,-46.5,14,10,-4.0,-4.15,-4.2,-67.6,44,23,25,"Tall sloper, 60 deg slope, top 137 ft, bearing 337T"
12,T75,86.7,86.7,75,~24,~32,105,-10.96,-17.7,-65.4,7,14,-5.5,-5.79,-6.8,-85.8,26,31,20,"Tall sloper, 75 deg slope, top 149 ft, bearing 105T"
8,T-APEX,83.4,83.4,66,~56,~57,82,-10.19,-11.2,-63.7,12,10,-4.7,-4.78,-5.4,-58.4,37,26,24,"Tall sloper, 66 deg slope, top 143 ft (existing apex tree)"
