# Topology search. Generated by tools/topology_search.py.
# Transformer feed 10 ft; roof feed at ENU (-10.7,-10.5), 25 ft ASSUMED.
# Slopers: parcel NOT enforced (operator's choice). V and L: supports on the lot.
# 3b_* = 40+20+15 m over 75 cells; w_* = 40+20 m over 50 cells. Ranked cells, regions, dBi.
# model: slant = METHOD.md s9 (LOW); hybrid = inverted-L, NEW and UNVALIDATED.
# No model includes tree absorption.
group,key,family,feed_ft,feed_from_transformer_ft,model,bend_deg,trust,max_anchor_ft,parcel,3b_dBi,3b_cells,3b_regions,3b_worst,w_dBi,w_cells,w_regions,w_worst,80m_dBi,80m_n,40m_dBi,40m_n,20m_dBi,20m_n,15m_dBi,15m_n,10m_dBi,10m_n,supports,label
lineup,CURRENT,sloper,10,0,"slant (§9, LOW)",0,OK,45,"far end 2 ft past the south line",-3.70,24,17,-58.9,-6.48,9,9,-58.9,-10.05,0,-8.71,3,-5.02,6,-0.81,15,0.44,15,"feed 10ft; far end 45ft 120ft@124M","AS BUILT - straight sloper, feed 10 ft to a 45 ft end (operator's GPX)"
lineup,BASE,bent / flat-top,10,0,"bent wire (§3/§4)",61,OK,35,"on the lot",-2.84,35,21,-26.2,-5.54,14,14,-26.2,-12.46,0,-8.65,2,-3.74,12,0.01,21,0.87,15,"feed 10ft; apex tree 35ft 53ft@67M; end 10ft 104ft@101M","Baseline as first described (feed 10 ft, apex 35 ft)"
lineup,RB-POST20,garden post,10,0,"bent wire (§3/§4)",66,OK,50,"on the lot",-0.71,47,23,-23.1,-2.98,25,21,-23.1,-9.32,1,-5.78,7,-1.30,18,1.88,22,1.80,15,"feed 10ft; apex tree 50ft 53ft@67M; post 20ft 91ft@101M","Apex tree at 50 ft, then ONE post at 20 ft in the staked strip (recommended)"
lineup,F10-A,bent / flat-top,10,0,"bent wire (§3/§4)",48,OK,50,"on the lot",-0.46,47,24,-26.2,-2.44,27,21,-26.2,-8.68,3,-5.47,8,-0.67,19,1.93,20,2.47,21,"feed 10ft; apex tree 50ft 53ft@67M; far support 50ft 77ft@84M; end 30ft 100ft@92M","Bent flat-top (option A geometry) with the feed at 10 ft"
lineup,SRCH-SL1,sloper,10,0,"slant (§9, LOW)",0,OK,107,"tree top 15 ft past the south line",-2.93,50,25,-105.5,-3.10,32,24,-105.5,-4.30,18,-3.28,18,-2.93,14,-2.62,18,-4.52,8,"feed 10ft; tree top 107ft 86ft@189M","Sloper up from the transformer (10 ft) to a 107 ft support 86 ft out at 189°M"
lineup,SRCH-SL2,sloper,10,0,"slant (§9, LOW)",0,OK,105,"on the lot",-3.05,49,25,-44.9,-3.19,35,25,-34.5,-5.21,14,-4.46,14,-2.21,21,-2.79,14,-1.15,17,"feed 10ft; tree top 105ft 88ft@10M","Sloper up from the transformer (10 ft) to a 105 ft support 88 ft out at 10°M"
lineup,SRCH-SL3,sloper,10,0,"slant (§9, LOW)",0,OK,87,"on the lot",-1.41,49,25,-45.2,-2.39,31,23,-45.2,-5.41,11,-4.18,12,-1.12,19,0.06,18,-0.50,14,"feed 10ft; tree top 87ft 105ft@261M","Sloper up from the transformer (10 ft) to a 87 ft support 105 ft out at 261°M"
lineup,SRCH-L1,inverted-L,10,0,"hybrid §3+§9 (UNVALIDATED)",90,OVERSTATED,53,"on the lot",-0.59,58,25,-27.2,-1.92,39,24,-27.2,-2.70,24,-2.18,23,-1.67,16,1.24,19,1.74,17,"feed 10ft; support top 53ft 87ft@256M; hanging end 20ft 87ft@256M","Inverted-L from the transformer, rising to 53 ft 87 ft out at 256°M, then 33 ft hanging down"
lineup,SRCH-L3,inverted-L,10,0,"hybrid §3+§9 (UNVALIDATED)",90,OVERSTATED,56,"on the lot",-1.06,57,24,-30.6,-1.24,42,24,-22.4,-2.66,25,-2.03,24,-0.57,18,-0.71,15,-2.69,11,"feed 10ft; support top 56ft 84ft@237M; hanging end 22ft 84ft@237M","Inverted-L from the transformer, rising to 56 ft 84 ft out at 237°M, then 34 ft hanging down"
lineup,SRCH-L2,inverted-L,10,0,"hybrid §3+§9 (UNVALIDATED)",90,OVERSTATED,52,"on the lot, inside the 5 m setback",-1.19,56,24,-51.8,-1.49,40,24,-48.1,-3.01,22,-2.55,22,-0.63,18,-0.66,16,-1.79,12,"feed 10ft; support top 52ft 76ft@153M; hanging end 9ft 76ft@153M","Inverted-L from the transformer, rising to 52 ft 76 ft out at 153°M, then 43 ft hanging down"
